url,novel_titles,review_ratings,num_chapters,author,translator,genres
https://www.wuxiaworld.com/novel/nine-star-hegemon,Nine Star Hegemon Body Art,3.5; 3.5,6683,Ordinary Magician (平凡魔术师),BornToBe,Chinese; Fantasy; Comedy; Xianxia; Xuanhuan; Action; Crafting; Alchemy
https://www.wuxiaworld.com/novel/myths-reawakened,Myths Reawakened,3.9; 3.9,336,Feng Chao Huang(凤嘲凰),Houseau3,Chinese; Fantasy; Comedy; Mystery; Slice of Life; Action; Harem
https://www.wuxiaworld.com/novel/interstellar-survival-invasion,Interstellar Survival: Invasion,3.5; 3.5,351,Waning Moon of the Past(当年残月),Pokka,Chinese; Fantasy; Sci-fi
https://www.wuxiaworld.com/novel/the-emperor-has-returned,The Emperor Has Returned,,270,Corgibear,Ristretto,Korean; Fantasy; Action
https://www.wuxiaworld.com/novel/the-max-level-hero-strikes-back,The Max Level Hero Strikes Back!,,1265,Devil's tail,ChubbyCheeks & FriedNook,Korean; Fantasy; Action
https://www.wuxiaworld.com/novel/mythical-era,Mythical Era: My Evolution into a Celestial Beast,3.7; 3.7,1198,Meeting at the Summit of Jade Peaks(群玉山头见),Joash & Salps,Chinese; Cheat Systems; Fantasy; Cultivation; Pets; Action; Modern Setting; Superpowers
https://www.wuxiaworld.com/novel/necropolis-immortal,Necropolis Immortal,4; 4,2369,Immortal Amidst Snow in July(七月雪仙人),etvolare,Chinese; Fantasy; Comedy; Mystery; Political Intrigue; Xianxia; Action
https://www.wuxiaworld.com/novel/the-maknae-has-to-be-an-idol,The Maknae Has to Be an Idol,4.8; 4.8,256,Gong wondong,RedBird,Korean; Fantasy; Slice of Life; Modern Setting; Reincarnator; Celebrity
https://www.wuxiaworld.com/novel/unrivaled-martial-emperor,Unrivaled Martial Emperor,2.7; 2.7,1480,October Breeze(十月春风),Mianbao,Chinese; Cultivation; Xuanhuan
https://www.wuxiaworld.com/novel/first-immortal-of-the-sword,First Immortal of the Sword,,2557,Xiao Jinyu (萧瑾瑜),Seth,Chinese; Fantasy; Cultivation; Action
https://www.wuxiaworld.com/novel/dragon-poor,Dragon Poor,3.6; 3.6,341,Geulump (글럼프),BananaOoyoo & Yojj,Korean; Fantasy; Action
https://www.wuxiaworld.com/novel/karnak-monarch-of-death,"Karnak, Monarch of Death",4.8; 4.8,138,YKB,DanTheMan,Korean; Fantasy
https://www.wuxiaworld.com/novel/sss-class-revival-hunter,SSS-Class Revival Hunter,4.5; 4.5,400,Sinnoa,Namu,Korean; Fantasy; Action
https://www.wuxiaworld.com/novel/above-your-head,Above Your Head,2.5; 2.5,261,박건,GodSeth,Korean; Fantasy; Sci-fi; Action
https://www.wuxiaworld.com/novel/law-of-space-and-time,Law of Space and Time,2.8; 2.8,319,Thousandfold Flicker(千方明灭),Johnchen,Chinese; Fantasy; Action
https://www.wuxiaworld.com/novel/descent-of-the-demon-master,Descent of the Demon Master,3.4; 3.4,1343,Wolbaek,A Passing Wanderer,Korean; Fantasy; Action; Wuxia; Modern Setting
